FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_ESTADUAIS.129,POINT (603844.27901518 7788967.45780151),ESCOLAS_ESTADUAIS.203.Estadual.ESCOLA ESTADUAL ENGENHEIRO FRANCISCO BICALHO,203,ESCOLA ESTADUAL ENGENHEIRO FRANCISCO BICALHO,Estadual,AVE,OLINTO MEIRELES,2632,,Miramar,BARREIRO
ESCOLAS_ESTADUAIS.130,POINT (612289.65463971 7803747.36724458),ESCOLAS_ESTADUAIS.994.Estadual.ESCOLA ESTADUAL PROFESSOR ALBERTO MAZONI ANDRADE,994,ESCOLA ESTADUAL PROFESSOR ALBERTO MAZONI ANDRADE,Estadual,RUA,OSCAR LOBO PEREIRA,390,,Providência,NORTE
ESCOLAS_ESTADUAIS.131,POINT (605086.34319929 7806612.33047051),ESCOLAS_ESTADUAIS.615.Estadual.ESCOLA ESTADUAL MARIA ANDRADE RESENDE,615,ESCOLA ESTADUAL MARIA ANDRADE RESENDE,Estadual,RUA,REINATO FANTONI,51,,Garças,PAMPULHA
ESCOLAS_ESTADUAIS.132,POINT (613756.02869567 7799437.56119605),ESCOLAS_ESTADUAIS.1026.Estadual.ESCOLA ESTADUAL DO INSTITUTO AGRONOMICO,1026,ESCOLA ESTADUAL DO INSTITUTO AGRONOMICO,Estadual,RUA,SANTO AGOSTINHO,1535,,Horto Florestal,LESTE
ESCOLAS_ESTADUAIS.133,POINT (613687.43939206 7799445.90955166),ESCOLAS_ESTADUAIS.566.Estadual.ESCOLA ESTADUAL PROFESSORA AMELIA DE CASTRO MONTEIRO,566,ESCOLA ESTADUAL PROFESSORA AMELIA DE CASTRO MONTEIRO,Estadual,RUA,SANTO AGOSTINHO,1381,,Horto Florestal,LESTE
ESCOLAS_ESTADUAIS.134,POINT (613249.28634457 7802892.39654917),ESCOLAS_ESTADUAIS.1002.Estadual.ESCOLA ESTADUAL PROFESSORA MARIA AMELIA GUIMARAES,1002,ESCOLA ESTADUAL PROFESSORA MARIA AMELIA GUIMARAES,Estadual,RUA,AMARAL,32,,Pirajá,NORDESTE
ESCOLAS_ESTADUAIS.135,POINT (609258.02966294 7809866.80490326),ESCOLAS_ESTADUAIS.812.Estadual.COLEGIO TIRADENTES PMMG MINASCAIXA,812,COLEGIO TIRADENTES PMMG MINASCAIXA,Estadual,RUA,JULITA NUNES LIMA,271,,Conjunto Minascaixa,VENDA NOVA
ESCOLAS_ESTADUAIS.136,POINT (608362.82114082 7797083.24859676),ESCOLAS_ESTADUAIS.1210.Estadual.COLEGIO TIRADENTES PMMG PRADO,1210,COLEGIO TIRADENTES PMMG PRADO,Estadual,RUA,DOS PAMPAS,767,,Prado,OESTE
ESCOLAS_ESTADUAIS.137,POINT (614088.63426016 7795325.09622633),ESCOLAS_ESTADUAIS.900.Estadual.ESCOLA ESTADUAL EFIGENIO SALLES,900,ESCOLA ESTADUAL EFIGENIO SALLES,Estadual,RUA,SERENATA,115,,Santana do Cafezal,CENTRO-SUL
ESCOLAS_ESTADUAIS.138,POINT (602362.13116894 7797975.35261247),ESCOLAS_ESTADUAIS.527.Estadual.ESCOLA ESTADUAL GUIMARAES ROSA,527,ESCOLA ESTADUAL GUIMARAES ROSA,Estadual,RUA,AVELAR,10,,Pindorama,NOROESTE
ESCOLAS_ESTADUAIS.139,POINT (609124.39674112 7809568.75399044),ESCOLAS_ESTADUAIS.960.Estadual.ESCOLA ESTADUAL CORONEL MANOEL SOARES DO COUTO,960,ESCOLA ESTADUAL CORONEL MANOEL SOARES DO COUTO,Estadual,RUA,WALFRIDO TEIXEIRA SIMOES,200,,Minascaixa,VENDA NOVA
ESCOLAS_ESTADUAIS.140,POINT (608388.83702842 7797842.26815738),ESCOLAS_ESTADUAIS.549.Estadual.ESCOLA ESTADUAL MELO VIANA,549,ESCOLA ESTADUAL MELO VIANA,Estadual,RUA,BOM SUCESSO,345,,Carlos Prates,NOROESTE
ESCOLAS_ESTADUAIS.141,POINT (613224.68859977 7801154.78093311),ESCOLAS_ESTADUAIS.975.Estadual.ESCOLA ESTADUAL LAUDIEME VAZ DE MELO,975,ESCOLA ESTADUAL LAUDIEME VAZ DE MELO,Estadual,RUA,CAMILO PRATES,238,,União,NORDESTE
ESCOLAS_ESTADUAIS.142,POINT (605799.1983557 7792504.68643178),ESCOLAS_ESTADUAIS.1035.Estadual.ESCOLA ESTADUAL EMILIA CERDEIRA,1035,ESCOLA ESTADUAL EMILIA CERDEIRA,Estadual,RUA,DAS CANOAS,461,,Estrela do Oriente,OESTE
ESCOLAS_ESTADUAIS.143,POINT (607965.84748535 7796605.60332145),ESCOLAS_ESTADUAIS.596.Estadual.ESCOLA ESTADUAL BERNARDO MONTEIRO,596,ESCOLA ESTADUAL BERNARDO MONTEIRO,Estadual,PCA,DOUTOR CARLOS MARQUES,67,,Calafate,OESTE
ESCOLAS_ESTADUAIS.144,POINT (608341.96753978 7798859.53654529),ESCOLAS_ESTADUAIS.1017.Estadual.ESCOLA ESTADUAL SANTOS ANJOS,1017,ESCOLA ESTADUAL SANTOS ANJOS,Estadual,RUA,CATUMBI,421,,Caiçaras,NOROESTE
ESCOLAS_ESTADUAIS.145,POINT (607320.16154376 7797669.54254208),ESCOLAS_ESTADUAIS.1019.Estadual.ESCOLA ESTADUAL PADRE EUSTAQUIO,1019,ESCOLA ESTADUAL PADRE EUSTAQUIO,Estadual,RUA,CESARIO ALVIM,927,,Padre Eustáquio,NOROESTE
ESCOLAS_ESTADUAIS.146,POINT (605008.99516762 7795041.79368047),ESCOLAS_ESTADUAIS.617.Estadual.ESCOLA ESTADUAL ORDEM E PROGRESSO,617,ESCOLA ESTADUAL ORDEM E PROGRESSO,Estadual,RUA,OSCAR NEGRAO DE LIMA,29,,Nova Gameleira,OESTE
ESCOLAS_ESTADUAIS.147,POINT (613304.14544219 7797488.64753013),ESCOLAS_ESTADUAIS.1208.Estadual.COLEGIO TIRADENTES PMMG - UNIDADE ARGENTINO MADEIRA,1208,COLEGIO TIRADENTES PMMG - UNIDADE ARGENTINO MADEIRA,Estadual,PCA,DUQUE DE CAXIAS,50,,Santa Tereza,LESTE
ESCOLAS_ESTADUAIS.148,POINT (600929.79429021 7788745.43220024),ESCOLAS_ESTADUAIS.201.Estadual.ESCOLA ESTADUAL PROFESSOR CLAUDIO BRANDAO,201,ESCOLA ESTADUAL PROFESSOR CLAUDIO BRANDAO,Estadual,AVE,SENADOR LEVINDO COELHO,800,,CDI Jatobá,BARREIRO
ESCOLAS_ESTADUAIS.149,POINT (607931.83293184 7794757.77956446),ESCOLAS_ESTADUAIS.112.Estadual.ESCOLA ESTADUAL NOSSA SENHORA DO BELO RAMO,112,ESCOLA ESTADUAL NOSSA SENHORA DO BELO RAMO,Estadual,RUA,SEBASTIAO DE BARROS,151,,Nova Granada,OESTE
