FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.125,POINT (604936.44969671 7808572.99191926),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.264.Municipal.ESCOLA MUNICIPAL ADAUTO LUCIO CARDOSO,264,ESCOLA MUNICIPAL ADAUTO LUCIO CARDOSO,Municipal,RUA,ERNESTO GAZZOLLI,164,,Céu Azul,VENDA NOVA
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.126,POINT (615013.49512944 7808345.83548738),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.256.Municipal.ESCOLA MUNICIPAL DESEMBARGADOR LORETO RIBEIRO DE ABREU,256,ESCOLA MUNICIPAL DESEMBARGADOR LORETO RIBEIRO DE ABREU,Municipal,RUA,MARCOS DONATO DE LIMA,520,,Ribeiro de Abreu,NORTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.127,POINT (604053.06639093 7799733.38394974),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.446.Municipal.ESCOLA MUNICIPAL JULIA PARAISO,446,ESCOLA MUNICIPAL JULIA PARAISO,Municipal,RUA,TIES,100,,Alípio de Melo,PAMPULHA
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.128,POINT (618096.18710291 7803893.9673143),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1193.Municipal.ESCOLA MUNICIPAL JARDIM VITORIA,1193,ESCOLA MUNICIPAL JARDIM VITORIA,Municipal,RUA,LOURDES GONCALVES BARBOSA,160,,Jardim Vitória,NORDESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.129,POINT (614476.314797 7795769.77803241),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.682.Municipal.ESCOLA MUNICIPAL VILA FAZENDINHA,682,ESCOLA MUNICIPAL VILA FAZENDINHA,Municipal,RUA,PAULO DE SOUZA,51,,Fazendinha,CENTRO-SUL
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.130,POINT (604681.60087641 7798572.56393277),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.530.Municipal.ESCOLA MUNICIPAL MARIA DE REZENDE COSTA,530,ESCOLA MUNICIPAL MARIA DE REZENDE COSTA,Municipal,AVE,ABILIO MACHADO,1009,,Glória,NOROESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.131,POINT (610991.32377082 7809637.76004586),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.680.Municipal.ESCOLA MUNICIPAL ACADEMICO VIVALDI MOREIRA,680,ESCOLA MUNICIPAL ACADEMICO VIVALDI MOREIRA,Municipal,RUA,AGENOR DE PAULA ESTRELA,393,,Jaqueline,NORTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.132,POINT (613167.84891255 7795935.40540031),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.624.Municipal.ESCOLA MUNICIPAL THEOMAR DE CASTRO ESPINDOLA,624,ESCOLA MUNICIPAL THEOMAR DE CASTRO ESPINDOLA,Municipal,RUA,MICA,144,,Nossa Senhora da Aparecida,CENTRO-SUL
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.133,POINT (601330.25587101 7788642.18261215),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.55.Municipal.ESCOLA MUNICIPAL EDITH PIMENTA DA VEIGA,55,ESCOLA MUNICIPAL EDITH PIMENTA DA VEIGA,Municipal,ALA,VARGEM GRANDE,38,,Castanheira,BARREIRO
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.134,POINT (615940.67878164 7804317.45371441),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.72.Municipal.ESCOLA MUNICIPAL PROFESSORA MARIA MAZARELLO,72,ESCOLA MUNICIPAL PROFESSORA MARIA MAZARELLO,Municipal,RUA,BENEDITO NEVES,45,,Nazaré,NORDESTE
