FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.22,POINT (606154.62960512 7795755.39208664),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI GAMELEIRA,0,EMEI GAMELEIRA,Umei,AVE,AMAZONAS,5855,,Gameleira,OESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.23,POINT (617000.3083964 7803570.69155265),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI JARDIM VITÓRIA,0,EMEI JARDIM VITÓRIA,Umei,RUA,BRANCA,51,,Vitória,NORDESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.24,POINT (610741.86895591 7808416.8820382),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI JULIANA,0,EMEI JULIANA,Umei,RUA,DA GALERIA,1130,,Juliana,NORTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.25,POINT (607631.77235721 7788232.91286986),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI PILAR OLHOS D'ÁGUA,0,EMEI PILAR OLHOS D'ÁGUA,Umei,AVE,SIGMUND WEISS,25,,Pilar,BARREIRO
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.26,POINT (606405.6181409 7796953.22464263),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI VILA SÃO VICENTE,0,EMEI VILA SÃO VICENTE,Umei,RUA,HUMAITA,1149,,Padre Eustáquio,NOROESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.27,POINT (604977.89260174 7801782.0877842),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI CASTELO,0,EMEI CASTELO,Umei,RUA,CASTELO DE ALCAZAR,10,,Castelo,PAMPULHA
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.28,POINT (610043.80355069 7798591.42943953),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI VILA SENHOR DOS PASSOS,0,EMEI VILA SENHOR DOS PASSOS,Umei,RUA,EVARISTO DA VEIGA,239,,Senhor dos Passos,NOROESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.29,POINT (610733.6703486 7793298.19845475),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI PROFESSORA MARTA NAIR MONTEIRO,0,EMEI PROFESSORA MARTA NAIR MONTEIRO,Umei,RUA,UNIAO,16,,Santa Rita de Cássia,CENTRO-SUL
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.30,POINT (616751.80946889 7798244.81714021),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI GRANJA DE FREITAS,0,EMEI GRANJA DE FREITAS,Umei,RUA,SAO VICENTE,371,,Granja de Freitas,LESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.31,POINT (613769.264226 7805331.57305506),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI BETINHO,0,EMEI BETINHO,Umei,RUA,TRINTA E NOVE,60,,Novo Aarão Reis,NORTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.32,POINT (602809.04153362 7795545.50414446),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI SANTA MARIA,0,EMEI SANTA MARIA,Umei,RUA,JOAO BATISTA VIEIRA,720,,Santa Maria,OESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.33,POINT (605965.77598339 7809972.67438555),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI PARAÚNAS,0,EMEI PARAÚNAS,Umei,RUA,PADRE PEDRO PINTO,5700,,Maria Helena,VENDA NOVA
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.34,POINT (610843.56509336 7805571.42594953),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI HELIÓPOLIS,0,EMEI HELIÓPOLIS,Umei,RUA,DOS BENEDITINOS,220,,Heliópolis,NORTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.35,POINT (610414.78628995 7799923.5753613),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI CACHOEIRINHA,0,EMEI CACHOEIRINHA,Umei,RUA,CONDE SANTA MARINHA,370,,Cachoeirinha,NORDESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.36,POINT (615068.23100619 7806121.20636592),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI RIBEIRO DE ABREU,0,EMEI RIBEIRO DE ABREU,Umei,RUA,DIANOPOLIS,170,,Ribeiro de Abreu,NORDESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.37,POINT (605201.13203385 7790745.38521703),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI SOL NASCENTE,0,EMEI SOL NASCENTE,Umei,RUA,MARIA LETICIA,190,,Milionários,BARREIRO
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.38,POINT (616222.87707971 7799302.42760725),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI CAETANO FURQUIM,0,EMEI CAETANO FURQUIM,Umei,RUA,MAIRINK,625,,Casa Branca,LESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.39,POINT (613824.71768181 7804337.03015285),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI CAVALINHO DE PAU,0,EMEI CAVALINHO DE PAU,Umei,RUA,CIRCULAR,315,,São Gabriel,NORDESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.40,POINT (605490.5485313 7807296.10490104),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI VILA APOLÔNIA,0,EMEI VILA APOLÔNIA,Umei,RUA,MARROCOS,614,,Apolônia,VENDA NOVA
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.41,POINT (613721.65232612 7804416.33445103),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI SÃO GABRIEL,0,EMEI SÃO GABRIEL,Umei,RUA,SAO JOAO DA SERRA,140,,São Gabriel,NORDESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.42,POINT (600724.54561925 7786851.12769796),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI MANGUEIRAS,0,EMEI MANGUEIRAS,Umei,RUA,COROA DE FRADE,328,,Mangueiras,BARREIRO
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.43,POINT (607687.03686909 7792229.57069671),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI CAC HAVAI,0,EMEI CAC HAVAI,Umei,AVE,COSTA DO MARFIM,480,,Havaí,OESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.44,POINT (618354.25916667 7806949.63168219),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI CAPITÃO EDUARDO,0,EMEI CAPITÃO EDUARDO,Umei,RUA,DOS MENSAGEIROS,95,,Conjunto Capitão Eduardo,NORDESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.45,POINT (617094.99639626 7806542.40258294),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI COQUEIRO VERDE,0,EMEI COQUEIRO VERDE,Umei,RUA,DAS ALMAS,200,,Conjunto Paulo VI,NORDESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.46,POINT (606211.79065087 7799658.71845074),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI VILA ANTENA,0,EMEI VILA ANTENA,Umei,RUA,FLOR DO ORIENTE,137,,Vila Antena Montanhês,PAMPULHA
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.47,POINT (613998.11918012 7795614.30891791),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI SANTA ISABEL,0,EMEI SANTA ISABEL,Umei,RUA,DOUTOR ARGEMIRO RESENDE COSTA,380,,Vila Novo São Lucas,CENTRO-SUL
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.48,POINT (614107.08016407 7794324.25459117),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI PADRE TARCÍSIO,0,EMEI PADRE TARCÍSIO,Umei,RUA,MANGABEIRA DA SERRA,280,,Marçola,CENTRO-SUL
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.49,POINT (611027.37470012 7808963.77361241),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI MARIQUINHAS,0,EMEI MARIQUINHAS,Umei,RUA,ACALIFA,209,,Juliana,NORTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.50,POINT (612779.04742726 7798817.50423327),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI SAGRADA FAMÍLIA,0,EMEI SAGRADA FAMÍLIA,Umei,RUA,COSTA MONTEIRO,875,,Sagrada Família,LESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.51,POINT (602206.17674246 7798514.40579495),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI MARFIM,0,EMEI MARFIM,Umei,RUA,ASSUMAR,375,,Pindorama,NOROESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.52,POINT (603012.33577483 7796244.64554755),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI CALIFÓRNIA II,0,EMEI CALIFÓRNIA II,Umei,RUA,CHRISTINA MARIA ASSIS,550,,Califórnia,NOROESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.53,POINT (606594.16939336 7800134.90614441),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI ENGENHO NOGUEIRA,0,EMEI ENGENHO NOGUEIRA,Umei,RUA,ENGENHO DO MAR,104,,Engenho Nogueira,PAMPULHA
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.54,POINT (603301.33847574 7802034.90790604),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI SARANDI,0,EMEI SARANDI,Umei,RUA,DEPUTADO AUGUSTO GONCALVES,320,,Serrano,PAMPULHA
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.55,POINT (610758.55785699 7803049.86570564),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI UNIVERSITÁRIO,0,EMEI UNIVERSITÁRIO,Umei,RUA,ARISTOTELES RIBEIRO VASCONCELOS,26,,Santa Rosa,PAMPULHA
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.56,POINT (605249.96570281 7801724.7491108),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI CASTELO DE CRATO,0,EMEI CASTELO DE CRATO,Umei,RUA,CASTELO DE CRATO,101,,Castelo,PAMPULHA
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.57,POINT (605779.91357354 7809475.65291164),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI PIRATININGA,0,EMEI PIRATININGA,Umei,RUA,ALTINOPOLIS,585,,Piratininga,VENDA NOVA
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.58,POINT (608523.37882505 7811010.1384218),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI NOVA IORQUE,0,EMEI NOVA IORQUE,Umei,RUA,EDIVALDO JARDIM,400,,Jardim dos Comerciários,VENDA NOVA
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.59,POINT (609847.37760591 7798787.63037849),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI PEDRO LESSA,0,EMEI PEDRO LESSA,Umei,RUA,PEDRO LESSA,506,,Pedreira Prado Lopes,NOROESTE
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.60,POINT (613463.22482975 7795451.52126212),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI VILA CONCEIÇÃO,0,EMEI VILA CONCEIÇÃO,Umei,RUA,CORONEL JORGE DAVIS,29,,Nossa Senhora do Rosário,CENTRO-SUL
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.61,POINT (614687.26929233 7795221.64664032),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI SÃO JOÃO,0,EMEI SÃO JOÃO,Umei,RUA,SAO JOAO,355,,Nossa Senhora de Fátima,CENTRO-SUL
ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.62,POINT (604019.63786123 7801966.81130469),ESCOLAS_MUNICIPAIS_EDUCACAO_INFANTIL.0.Umei.EMEI ITATIAIA,0,EMEI ITATIAIA,Umei,RUA,MARIA CECILIA,270,,Santa Terezinha,PAMPULHA
