FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_FEDERAIS.1,POINT (609242.98195655 7802765.07078202),ESCOLAS_FEDERAIS.2112.Federal.UFMG - TEATRO UNIVERSITARIO,2112,UFMG - TEATRO UNIVERSITARIO,Federal,AVE,PRESIDENTE ANTONIO CARLOS,6627,,Campus UFMG,PAMPULHA
ESCOLAS_FEDERAIS.2,POINT (609242.98195655 7802765.07078202),ESCOLAS_FEDERAIS.1997.Federal.COLTEC - COLEGIO TECNICO DA UFMG,1997,COLTEC - COLEGIO TECNICO DA UFMG,Federal,AVE,PRESIDENTE ANTONIO CARLOS,6627,,Campus UFMG,PAMPULHA
ESCOLAS_FEDERAIS.3,POINT (609242.98195655 7802765.07078202),ESCOLAS_FEDERAIS.2185.Federal.ESCOLA DE EDUCACAO BASICA E PROFISSIONAL DA UFMG - CENTRO PEDAGOGICO,2185,ESCOLA DE EDUCACAO BASICA E PROFISSIONAL DA UFMG - CENTRO PEDAGOGICO,Federal,AVE,PRESIDENTE ANTONIO CARLOS,6627,,Campus UFMG,PAMPULHA
ESCOLAS_FEDERAIS.4,POINT (606972.17538757 7795938.91022722),ESCOLAS_FEDERAIS.2141.Federal.UNIDADE BH - CAMPUS I,2141,UNIDADE BH - CAMPUS I,Federal,AVE,AMAZONAS,5253,,Nova Suissa,OESTE
ESCOLAS_FEDERAIS.5,POINT (608960.91636072 7802370.20115659),ESCOLAS_FEDERAIS.2236.Federal.COLEGIO MILITAR DE BELO HORIZONTE,2236,COLEGIO MILITAR DE BELO HORIZONTE,Federal,AVE,MARECHAL ESPERIDIAO ROSAS,400,,Campus UFMG,PAMPULHA
