FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_PARTICULARES.184,POINT (599106.03572974 7790351.9474373),ESCOLAS_PARTICULARES.2563.Particular.CENTRO EDUCACIONAL MENINO MALUQUINHO,2563,CENTRO EDUCACIONAL MENINO MALUQUINHO,Particular,RUA,DAS PETUNIAS,1911,,Lindéia,BARREIRO
ESCOLAS_PARTICULARES.185,POINT (610744.04720635 7794143.95558503),ESCOLAS_PARTICULARES.2502.Particular.CENTRO INFANTIL CHICO XAVIER,2502,CENTRO INFANTIL CHICO XAVIER,Particular,RUA,LEOPOLDINA,695,,Santo Antônio,CENTRO-SUL
ESCOLAS_PARTICULARES.186,POINT (610734.27588086 7794230.01806726),ESCOLAS_PARTICULARES.2156.Particular.INST MINEIRO DE EDUC E PEDAGOGIA,2156,INST MINEIRO DE EDUC E PEDAGOGIA,Particular,RUA,LEOPOLDINA,614,,Santo Antônio,CENTRO-SUL
ESCOLAS_PARTICULARES.187,POINT (615390.14343738 7805102.0950875),ESCOLAS_PARTICULARES.2347.Particular.INSTITUTO EDUCACIONAL CASTELINHO DOURADO,2347,INSTITUTO EDUCACIONAL CASTELINHO DOURADO,Particular,RUA,CLEANTO,291,,Nazaré,NORDESTE
ESCOLAS_PARTICULARES.188,POINT (612973.71525813 7806602.89960309),ESCOLAS_PARTICULARES.2475.Particular.ESCOLA INFANTIL PRIMEIRA INFANCIA,2475,ESCOLA INFANTIL PRIMEIRA INFANCIA,Particular,RUA,CORNELIO PENA,72,,Tupi A,NORTE
ESCOLAS_PARTICULARES.189,POINT (604789.67356516 7790945.43663429),ESCOLAS_PARTICULARES.2403.Particular.COL CRISTO REDENTOR,2403,COL CRISTO REDENTOR,Particular,RUA,PONTA GROSSA,1599,,Milionários,BARREIRO
ESCOLAS_PARTICULARES.190,POINT (604824.26488198 7789367.23787208),ESCOLAS_PARTICULARES.2817.Particular.COLÉGIO PENIEL,2817,COLÉGIO PENIEL,Particular,RUA,DOUTOR CRISTIANO REZENDE,2614,,Araguaia,BARREIRO
ESCOLAS_PARTICULARES.191,POINT (605482.17606082 7789420.93694179),ESCOLAS_PARTICULARES.2414.Particular.COLEGIO SUPREMO,2414,COLEGIO SUPREMO,Particular,RUA,DOUTOR CRISTIANO REZENDE,2101,,Flávio Marques Lisboa,BARREIRO
ESCOLAS_PARTICULARES.192,POINT (607265.0183019 7791234.2778415),ESCOLAS_PARTICULARES.2544.Particular.LETRA ESCOLA DE EDUCACAO INFANTIL,2544,LETRA ESCOLA DE EDUCACAO INFANTIL,Particular,RUA,ORLANDO MORETZSOHN,106,,Buritis,OESTE
ESCOLAS_PARTICULARES.193,POINT (612252.64091198 7804546.02827329),ESCOLAS_PARTICULARES.2348.Particular.INSTITUTO EDUCACIONAL DPAULAS,2348,INSTITUTO EDUCACIONAL DPAULAS,Particular,RUA,MEDEIROS,80,,Minaslândia,NORTE
ESCOLAS_PARTICULARES.194,POINT (603266.8722698 7800686.60384794),ESCOLAS_PARTICULARES.2591.Particular.PASSINHOS PARA A VITORIA,2591,PASSINHOS PARA A VITORIA,Particular,RUA,MINISTRO GUSTAVO CAPANEMA,58,,Serrano,PAMPULHA
ESCOLAS_PARTICULARES.195,POINT (609826.10332763 7807217.92441657),ESCOLAS_PARTICULARES.2334.Particular.C EDUC EFIGENIA TOBIAS,2334,C EDUC EFIGENIA TOBIAS,Particular,AVE,DOUTOR CRISTIANO GUIMARAES,755,,Vila Clóris,NORTE
ESCOLAS_PARTICULARES.196,POINT (609714.17423716 7803344.45285048),ESCOLAS_PARTICULARES.2773.Particular.CENTRO PEDAGÓGICO ARCO ÍRIS,2773,CENTRO PEDAGÓGICO ARCO ÍRIS,Particular,RUA,DUARTE DA COSTA,202,,Indaiá,PAMPULHA
ESCOLAS_PARTICULARES.197,POINT (610255.95094493 7798138.16257578),ESCOLAS_PARTICULARES.2107.Particular.JD DE INF CINDERELA,2107,JD DE INF CINDERELA,Particular,RUA,ITATIAIA,260,,Bonfim,NOROESTE
ESCOLAS_PARTICULARES.198,POINT (613131.23562172 7802059.63437156),ESCOLAS_PARTICULARES.2339.Particular.COL ALUMNUS,2339,COL ALUMNUS,Particular,AVE,JOAQUIM JOSE DINIZ,519,,Fernão Dias,NORDESTE
